User Name,Codename,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted    Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score,antivax
MOMMY'S Barter/Sell Cebu Community [ MBSCC ],,none,,,,25516,,2022-02-15 20:44:08 EST,2022/2/15,20:44:08,Status,45,9,30,0,5,1,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/576534649712878/permalink/943456153020724,"FYI mga mies, maka sulod na mga kids sa mall. Same lang gihapon accompanied with fully vax parent/guardian. Maka sulod rasad unvaxx individuals. An chekon ra katong naa bata dala. Mga playhouse open nasad under Alert Level 2 :blush::heart: Share lang, thanks :two_hearts:",,,,,,0,,,45,1.67,-1
Cebu Mommies & Babies ¤±©â¦â¦ð©â§â,,none,,,,32765,,2022-01-15 22:55:19 EST,2022/1/15,22:55:19,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2023165634655718/permalink/2740612899577651,"good day mga mamsh, pwd ra ba madala c bby 7months and breastfeed sa SM SEASIDE? magpa vax unta ko tom for second dose? tnx sa info mommies:hugs::blush:",,,,,,0,,,0,-108,-1
Looking for baby stuff (cebu mommies only),,none,,,,59400,,2022-01-15 23:03:22 EST,2022/1/15,23:03:22,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3139752446309938,"good day mga mamsh, pwd ra ba madala c bby 7months and breastfeed sa SM SEASIDE? magpa vax unta ko tom for second dose? tnx sa info mommies:hugs::blush:",,,,,,0,,,0,-122,-1
Looking for baby stuff (cebu mommies only),,none,,,,59125,,2022-02-09 17:55:21 EST,2022/2/9,17:55:21,Status,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3157758314509351,Good morning mga my's. Crowd sourcing. Asa'y ma's nindot in terms of service and gasto Margarita Birthing Center or Ponce Birthing Center? Dala na ba na BCG sa bata ug HepaB na vax if naay Philhealth?,,,,,,0,,,1,-39,-1
MOMMY'S Barter/Sell Cebu Community [ MBSCC ],,none,,,,25187,,2022-02-09 17:55:00 EST,2022/2/9,17:55:00,Status,15,1,14,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/576534649712878/permalink/939745176725155,Good morning mga my's. Crowd sourcing. Asa'y ma's nindot in terms of service and gasto Margarita Birthing Center or Ponce Birthing Center? Dala na ba na BCG sa bata ug HepaB na vax if naay Philhealth?,,,,,,0,,,15,-1.93,-1
Looking for baby stuff (cebu mommies only),,none,,,,57001,,2021-11-28 18:34:30 EST,2021/11/28,18:34:30,Status,77,1,76,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3103735493244967,GOOD MORNING. Not related sa baby stuff. Naa lang koi e ask about vax cert through online. Kinsa naka suway dinhi kuha through online? Kay akoa man gud hagby rako fully vaccinated pero 1st dose rai na record nila walay 2nd dose :pensive: last week pako sig check ba. When ninyo nakuha inyo? ug pila ka days after 2nd dose ninyo ge check through online Pls sa maka tubag :pray: salamat :smiling_face_with_three_hearts:,,,,,,0,,,77,1.26,-1
Looking for baby stuff (cebu mommies only),,none,,,,59778,,2022-02-23 13:30:36 EST,2022/2/23,13:30:36,Status,8,0,8,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3167760560175793,gud pm.. mga pila d i ka months pwde mgpa vaccine s Booster? gikan pg fully vaxx nmu pg november 16 ko na fully vaccinated.. pila kah months gikan pg fully vax nmu nga pwde nka mkapa booster?,,,,,,0,,,8,-2.62,-1
Looking for baby stuff (cebu mommies only),,none,,,,59778,,2022-02-23 14:17:39 EST,2022/2/23,14:17:39,Status,6,1,4,0,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3167781546840361,gud pm.. mga pila d i ka months pwde mgpa vaccine s Booster? gikan pg fully vaxx nmu pg november 16 ko na fully vaccinated.. pila kah months gikan pg fully vax nmu nga pwde nka mkapa booster?,,,,,,0,,,6,-3.5,-1
A pregnant mothers journey,,none,,,,,,2021-10-05 20:12:09 EDT,2021/10/5,20:12:09,Status,5,4,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/326148712549719/permalink/408724927625430,"hello, is it ok to be vaccinated with anticovid vax,im at 27 weeks",,,,,,0,,,5,-19,0
Looking for baby stuff (cebu mommies only),,none,,,,59321,,2022-01-21 09:12:18 EST,2022/1/21,9:12:18,Status,3,1,2,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3143705705914612,"Hello mga mommies..Ask ta ko if unsay requirements sa kids age 7 yrs old, 5 yrs old ug 1 yr old..Mu biyahe pa Bohol..Fully vax Ang parents",,,,,,0,,,3,-15,-1
MOMMY & BABIES- Brandbew and Preloved Stuffs ( BACOLOD CITY 6100),,none,,,,13998,,2021-11-15 19:20:05 EST,2021/11/15,19:20:05,Status,8,0,8,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/264365401260102/permalink/640974776932494,Hello mga momsh since minors are allowed at mall ask lng q how bout pregnants? Fully vax nmn ..thanks sa mga mka share sabat..:blush:,,,,,,0,,,8,-4.12,-1
Looking for baby stuff (cebu mommies only),,none,,,,57056,,2021-11-23 01:06:38 EST,2021/11/23,1:06:38,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3099184747033375,"Hello mies, kinsay fully vax dri nga Aztra? Kumusta inyung experience? :slightly_smiling_face:",,,,,,0,,,0,-122,-1
Looking for baby stuff (cebu mommies only),,none,,,,56695,,2021-10-27 01:48:39 EDT,2021/10/27,1:48:39,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3077326799219170,"Hello mommies, Any idea and suggestion asa affordable pedia or clinic okay magpa anti-flu vax for my 2y baby. Cebu City Area unta south dapit and HM! Thankyouuu :hugs:",,,,,,0,,,0,-122,-1
Moms & Nannies Durham Region,,none,,,,2821,,2021-12-16 16:09:34 EST,2021/12/16,16:09:34,Status,14,2,12,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/144185286024388/permalink/1312097905899781,"Hey all hope everyones doing well, Im a 19 year old nanny/babysitter. I have over 6 years experience with kids of all ages. I do household cleaning as well to help you out. I am double vax animal lover, and I have a police check available asap.",,,,,,0,,,14,0.74,0
Moms & Nannies Durham Region,,none,,,,2890,,2022-01-04 14:47:50 EST,2022/1/4,14:47:50,Status,11,2,9,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/144185286024388/permalink/1324025851373653,"Hey everyone Im a 19 year old nanny looking for a full or part time position. As times are tough I know it can be hard to find someone reliable. I am here for any questions you may have, Ive babysat for 6+ years. Children from Ages 0-12 and even children with autism. I have a number of references, I have a police check and Im double vax! Looking to get my booster mid January I also have my own car. Let me know if I would be a good fit for your family.",,,,,,0,,,11,0.58,0
Moms looking for work from home jobs in Georgia,,none,,,,33896,,2021-10-28 11:48:42 EDT,2021/10/28,11:48:42,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/492018574475869/permalink/1566553110355738,"Hey guys. As a mom I have started a new business. I am looking for someone who is willing to help me cover outbound cold calls Monday-Friday. I am flexible. You can pick the hours you work daily. I get being a parent! I have a toddler and am expecting in April. (Thats why I need help with calls-my house is far from quiet!) Requirements: -comfortable on the phone or willing to learn. -you will need a smartphone to be able to access our phone dialing app. -ability to adapt to each phone call. This will not be traditional sales. I will train you personally with how I like calls handled. -WiFi or cell service with data. -CashApp or PayPal to receive payments weekly. -a quiet work space. -available anytime between 8am-6pm EST to make calls based on time zones. -an email address to receive work. -willing to work alone at your own pace and keep in communication regularly with me. -a positive attitude. -must be in the USA and speak fluent English. Not required: -No COVID vax required. You are working remotely and your health is your personal choice. I have no right to enforce something like this on you. -computer or laptop. This will make life easier on you, but you can do everything from you phone. -experience. Its a plus, but not required. I am looking for something altogether different when it comes to call handling. These will not be rushed calls, but rather really getting to know the customer and their needs so that we can help them grow as well. The position will be long term with bonuses per contract that you close. It will be contract hourly without additional benefits. There will be a 2 week trial period for all new team members. Starting pay is $4/hour (including training) plus bonuses monthly at 1% or the total monthly account value for the first full 3 months of the account longevity. Raises are a big possibility as we grow. Minimum 10 hours per week, but you can work as much as you would like if there are contacts to reach out to. Please comment if you are interested and Ill message you.",,,,,,0,,,0,-34,0
Vaccine Free Mommies,,none,,,,382,,2021-11-26 11:53:28 EST,2021/11/26,11:53:28,Status,7,0,7,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/171198889587473/permalink/6779220292118600,"Hey, looking for some advice ! My daughter is 6 months old And has been dealing with extremely sensitive skin and allergic skin actions to soaps and creams and mostly anything i can use on her skin, these allergies turn in to full body eczema and dermatitis face arms legs. She is unvaccinated because i was nervous that if i vaccinated while she has these rashes would have been even more detrimental to her health due to the immune response a VAX can cause. I tried a natural product for a skin called waxlene and it caused a awful flare any advice or suggestions from anyone's who else experienced such sensitive skin with their children",,,,,,0,,,7,-0.46,0
Moms & Nannies Durham Region,,none,,,,2949,,2022-01-10 18:59:07 EST,2022/1/10,18:59:07,Status,7,1,6,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/144185286024388/permalink/1327816460994592,"Hey there I hope youre doing well, Im a 19 year old nanny/babysitter. I have over 6 years experience with kids of all ages. I do household cleaning as well to help you out. I am double vax animal lover, and I have a police check available asap. Looking for a full time permanent position.",,,,,,0,,,7,-0.3,0
Clean House Tips and Tricks for Busy Moms and Workaholics,,none,,,,3545,,2020-02-24 17:23:18 EST,2020/2/24,17:23:18,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/944808718939857/permalink/2780875838666460,Hi has anyone bought the vax one hard floor hoover and cleaner combined ? Is it worth the money? Thanks,,,,,,0,,,0,-10,0
MOMS support group,,none,,,,,,2021-08-19 18:12:41 EDT,2021/8/19,18:12:41,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2931624140456265/permalink/3023473084604703,Hi ladies. Just needed to vent out :sweat: just so upsetting that my husband is playing his cricket match tomorrow. And told me this evening only. We recently got our first dose of covid 19 vax. He doesn't understand what im trying to point out and he seems like so clouded and excited for his match for tomorrow. While im scared and cried off the night for the worst things might happen. Just scared for my kids safety :sweat: i don't wanna compromise their health because of some stupid action!!! Am i over reacting?! I have 2 daughters - a toddler turning 3 and a 1 year both turning next month. :sweat::sweat::sweat:,,,,,,0,,,0,-84,0
Staten Island Moms,,parenting,,,,4485,,2021-10-19 21:11:34 EDT,2021/10/19,21:11:34,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/156330741525502/permalink/1192803737878192,"Hi ! Making another post just in case some didnt see my previous one! Im Kayla, Im 20 and Im an early childhood education major as a junior at SUNY Cortland. I live in Staten Island around the rossville area and interested to baby sit from December 13 until January 27th while Im home for winter break from college. I am available any day and time , looking for something with more of a schedule rather than just random days and times. I also student teach currently as well! I can supply my resume, proof of vax card, references and paperwork that I currently student teach! :slightly_smiling_face: I have plenty of experience as well",,,,,,0,,,0,-46,0
Looking for baby stuff (cebu mommies only),,none,,,,58605,,2021-12-12 00:00:09 EST,2021/12/12,0:00:09,Status,4,1,3,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3114353248849858,"Hi mies, makasud ra sm cebu ang 5 months old baby? Fully vax ang parents",,,,,,0,,,4,-15.25,-1
Roseville Moms,,none,,,,3815,,2022-01-26 16:28:18 EST,2022/1/26,16:28:18,Status,63,13,43,0,6,0,1,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/191556644224469/permalink/4939448856101867,"Hi mommas. Im going to start my search soon but thought Id ask here first. Has anyone found a private school, that isnt government funded in any way, not going to require student vax? Please dont comment if you have opinions on vax, I would just really appreciate info/names of those schools. TIA",,,,,,0,,,63,3.32,1
Hemophilia Mother,,none,,,,9512,,2021-10-03 16:25:36 EDT,2021/10/3,16:25:36,Status,24,1,22,0,0,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/groups/117299178301385/permalink/4701819633182627,"Hi there.. I really do not want to start a debate so, let's not go there. But, my son is 11 severe hemo B. I'm just wondering what some experiences are with the Covid vax and our hemo children? No arguing lol just info please! My severe b Dad was a victim of the hemophilia holocaust so, medically I have little trust when the government is in charge.",,,,,,0,,,24,-1.46,0
Marietta Moms,,none,,,,4798,,2021-07-28 22:28:40 EDT,2021/7/28,22:28:40,Status,8,0,8,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/159605590730186/permalink/4536004433090258,"I am unable to find reasonably priced drop-in daycare and am now looking for an occasional weekday and weekend babysitter instead. You will be babysitting my 2 year old and 5 month old on weekdays and on one Sunday it will be my 6 year old, 2 year old and 5 month old. Start Date: Tuesday, August 17, 2021 Position: Part-Time Babysitter Location: I am 5 min away from Marietta Square Schedule: Needed weekly on Tuesdays and Thursdays with Sundays being only 1x a month Pay Rate: $12.50/hr (not per child) Holiday bonuses are available. * Must pass a background check * Must be CPR/First Aid certified * Must have own transportation * Must be comfortable working within my home *Note: I am not considering bringing my children to someone else's home at this time * Must have at least 2 years childcare experience with infants, toddlers and young children * Must have references * Must wear a mask and gloves (no exceptions if you have been vax or not vax) If you know of anyone, please let me know. Thanks!",,,,,,0,,,8,-2.75,0
Grass Valley & Nevada City Mamas,,none,,,,1230,,2021-12-30 12:24:36 EST,2021/12/30,12:24:36,Status,14,3,10,0,0,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/groups/943406202392882/permalink/4914953818571414,Im going to have a baby in August and Im a little worried about the vaccine situation. Do hospitals force vaccinate babies or pregnant mamas? Is there any way to opt out of having my child jabbed? Im not looking for comments to be flooded with pro vax lectures please? Simply seeking information on the side of anti vax rights.,,,,,,0,,,14,0.74,1
Orlando Mom's Group,,none,,,,16597,,2021-10-12 22:37:31 EDT,2021/10/12,22:37:31,Status,4,0,3,0,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/205864026211713/permalink/2302472633217498,"I'm looking for a Pediatrician that accepts Oscar insurance and is reasonable about vaccines. I'm not anti-vax, I just think it's a little overboard compared to what we grew up with and need someone to meet me in the middle here. Even if they don't take Oscar, feel free to leave the info in the comments. I haven't had my baby yet, but I need a peditrician to pre-register with the hospital.",,,,,,0,,,4,-8,1
Staten Island Moms,,parenting,,,,5173,,2021-12-19 13:01:32 EST,2021/12/19,13:01:32,Status,43,4,38,0,0,0,0,1,0,0,,-,0,0,0,,https://www.facebook.com/groups/156330741525502/permalink/1231922783966287,Is the vax mandate in place for the 5-11 yr old age group? That will certain make for crappy holiday if it is. Id love to take my daughter out to eat over the break but Im afraid theyre going to start checking for her too and we arent in a hurry to do that just yet. I feel NYC is forcing my hand and its total crap. Not antivax by any means but I know how she reacts to shots and just not ready to put that through yet if its not necessary.,,,,,,0,,,43,1.02,0
Vaccinators against  Anti Vaccination Moms,,none,,,,566,,2020-12-07 11:12:21 EST,2020/12/7,11:12:21,Status,16,9,5,0,2,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1931920323771477/permalink/2424372351192936,Just spammed an anti vax group. Feeling good.,,,,,,0,,,16,0.84,0
Vaccinators against  Anti Vaccination Moms,,none,,,,567,,2020-12-08 16:23:02 EST,2020/12/8,16:23:02,Status,15,8,5,0,0,0,0,0,0,2,,-,0,0,0,,https://www.facebook.com/groups/1931920323771477/permalink/2425185641111607,Just spammed another anti vax group,,,,,,0,,,15,0.79,0
MOMMY'S Barter/Sell Cebu Community [ MBSCC ],,none,,,,25776,,2022-02-21 08:32:28 EST,2022/2/21,8:32:28,Status,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/576534649712878/permalink/946720042694335,Kinsa ganahan pahimo Vax Card Kanang naay QR Code dli mi mohimo if Wala Legit here Pm me!!!,,,,,,0,,,1,-26,-1
Looking for baby stuff (cebu mommies only),,none,,,,56972,,2021-11-30 22:32:27 EST,2021/11/30,22:32:27,Status,2,1,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3105404179744765,Kinsa gani to mo pvc ug vax card??,,,,,,0,,,2,-30.5,-1
Cebu Mommies & Babies ¤±©â¦â¦ð©â§â,,none,,,,32981,,2022-02-06 00:36:17 EST,2022/2/6,0:36:17,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2023165634655718/permalink/2754804474825160,kinsay mobuhat dri PVC vax card? pls comment. Naga area lng ha para dali ra sa meet up,,,,,,0,,,0,-84,-1
Looking for baby stuff (cebu mommies only),,none,,,,59219,,2022-02-03 22:50:29 EST,2022/2/3,22:50:29,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2541008016184387/permalink/3153544408264075,"kinsay mu himo dirig card katung sa online?di jud ma track amoang record,SM seaside mi ngpa vaccine both 1st & 2nd dose,badly need it now unta kay na misplace ang vax card",,,,,,0,,,0,-56,-1
Cebu Mommies & Babies ¤±©â¦â¦ð©â§â,,none,,,,30293,,2021-09-02 23:33:39 EDT,2021/9/2,23:33:39,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2023165634655718/permalink/2647851702187105,Laban sa kilay mga brow sis promo!!!!!!!:hugs::hugs::grin::hugs::relaxed::relaxed::relaxed::relaxed: LESS 1000 PESOS FOR FULLY VACCINATED SISTER:hugs::hugs::hugs: Less 500 for 1 dose vaccinated sister..:relaxed::relaxed: Just present your vax card ... :boom:FREE TOUCH UP SESSION :boom:FREE AFTERCARE OINTMENT,https://www.facebook.com/BeautyMagicbyRaeArabella/photos/a.104037264308306/601827031195991/?type=3,,,Beauty Magic by Rae Arabella,"Laban sa kilay mga brow sis promo!!!!!!!ºïºïºïºï

LESS 1000 PESOS FOR FULLY VACCINATED SISTER

Less 500 for 1 dose vaccinated sister..ºïºï

Just present your vax card ...

FREE TOUCH UP SESSION
FREE AFTERCARE OINTMENT",0,,,0,-108,-1
Cebu Mommies & Babies ¤±©â¦â¦ð©â§â,,none,,,,30285,,2021-09-02 04:05:59 EDT,2021/9/2,4:05:59,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/2023165634655718/permalink/2647238675581741,Laban sa kilay mga brow sis promo!!!!!!!:hugs::hugs::grin::hugs::relaxed::relaxed::relaxed::relaxed: LESS 1000 PESOS FOR FULLY VACCINATED SISTER:hugs::hugs::hugs: Less 500 for 1 dose vaccinated sister..:relaxed::relaxed: Just present your vax card ... :boom:FREE TOUCH UP SESSION :boom:FREE AFTERCARE OINTMENT,https://www.facebook.com/BeautyMagicbyRaeArabella/photos/a.104037264308306/601827031195991/?type=3,,,Beauty Magic by Rae Arabella,"Laban sa kilay mga brow sis promo!!!!!!!ºïºïºïºï

LESS 1000 PESOS FOR FULLY VACCINATED SISTER

Less 500 for 1 dose vaccinated sister..ºïºï

Just present your vax card ...

FREE TOUCH UP SESSION
FREE AFTERCARE OINTMENT",0,,,0,-108,-1
Marietta Moms,,none,,,,6203,,2021-10-22 20:20:30 EDT,2021/10/22,20:20:30,Status,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/159605590730186/permalink/4811260552231310,Looking for a pediatrician who accepts CareSource that is okay with non vax/delayed.,,,,,,0,,,1,-38,1
