User Name,Codename,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted    Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score,antivax
Republicans and Democrats United for Biden-Harris,,none,,,,5965,,2021-04-23 21:28:01 EDT,2021/4/23,21:28:01,Status,68,45,3,10,0,4,0,6,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/929134107629071,Dr. Fauci on Sen. Johnsons (R-WI) anti-vax comments: How can anyone say that 567K dead Americans is not an emergency?,,,,,,0,,,68,1.17,0
Republicans and Democrats United for Biden-Harris,,none,,,,7136,,2021-06-02 10:23:28 EDT,2021/6/2,10:23:28,Status,17,8,7,2,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/952583251950823,"Ever notice anti mask/ vax businesses """"""""cancelling"""""""" vaccinated customers? Screw em. Free market.",,,,,,0,,,17,-3.41,0
Progressive and Liberal Activists,,none,,,,6649,,2021-10-22 09:53:17 EDT,2021/10/22,9:53:17,Status,9,6,0,0,0,2,0,1,0,0,,-,0,0,0,,https://www.facebook.com/groups/376941065675704/permalink/3899467240089718,Ever notice % of cops who won't get vax and % who abuse minorities is about 20%?,,,,,,0,,,9,-3.67,0
Republicans and Democrats United for Biden-Harris,,none,,,,6494,,2021-05-13 12:09:19 EDT,2021/5/13,12:09:19,Status,4,2,2,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/940807709795044,"Fellow Ohioans, what do you think about DeWine's 5 million dollars drawing for those who have been vaccinated? I'm all for getting people vaccinated, but at the same time I feel like this money should be used to help schools, people who lost their jobs, etc. We are fortunate that our school district has the money to provide Chrome books to all students, but there's a lot of districts who can't. Believe me. I'd love to win the money, but I'm also worried people still won't get vaccinated and the money could have been better spent. Do you think it will work? I'm also afraid we will see spikes once the restrictions are lifted. Everyone I know is fully vaccinated(we have smart friends), dd is 12 yrs, so hoping to get an appointment for her's this week or next. I feel we are safe, but still worry for younger kids and those who can't get the vax because of medical conditions.",,,,,,0,,,4,-14.5,0
Progressive and Liberal Activists,,none,,,,6543,,2021-09-17 12:02:22 EDT,2021/9/17,12:02:22,Status,6,4,2,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/376941065675704/permalink/3793337974035979,Fla landlord insisting on vax to live there!,,,,,,0,,,6,-5.5,0
Democratic America,,none,,,,9042,,2021-08-05 08:29:45 EDT,2021/8/5,8:29:45,Status,25,16,3,2,0,0,0,0,2,2,,-,0,0,0,,https://www.facebook.com/groups/203489800225585/permalink/967834140457810,"Florida is headed for another lock down if we don't wake-up, mask-up, and vax-up now. By ignoring science and blocking masking-up and vaxxing-up needs, Governor DeSantis is essentially letting this virus and it's variants run rampant. By not taking action against this viral enemy he is going to cause what he's afraid of.",,,,,,0,,,25,-2.36,0
Republicans and Democrats United for Biden-Harris,,none,,,,9637,,2021-08-05 00:00:41 EDT,2021/8/5,0:00:41,Status,24,17,6,1,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/991535188055629,"Florida is headed for another lock down if we don't wake-up, mask-up, and vax-up now. By ignoring science and blocking masking-up and vaxxing-up needs, Governor DeSantis is essentially letting this virus and it's variants run rampant. By not taking action against this viral enemy he is going to cause what he's afraid of.",,,,,,0,,,24,-3.54,-1
Democratic Voice for Biden/Harris 2024,,none,,,,20674,,2021-08-19 01:11:00 EDT,2021/8/19,1:11:00,Status,18,11,3,3,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/111188856119651/permalink/989859688252559,"From The Lincoln Project August 17, 2021 Last week we released our ad Back to School calling out Texas Gov. Greg Abbott and Florida Governor Ron DeSantis for endangering the lives of school children with their anti-vax, anti-mask COVID conspiracies. Since then, youd like to think they figured it out and decided to put our kids safety before their partisan propaganda campaign. Remember this? Florida got it right, and the lockdown states got it wrong. Yeah, right. They doubled down. You already know Abbott immediately rallied his team of mob-mouthpieces to attack the Lincoln Project and fundraise off our ad. Ron DeSantis? Still spewing lies while Floridians die, and now hes facing the heat. 5,600 kids in Tampa are quarantined right now. Its an entire district. Rates are soaring. DeSantis is still putting the talking points of Trump loyalists and far-right talking heads before the needs of Floridians. Hes met with Sean Hannity more times this term than hes met with his own Lieutenant Governor. Hes held multiple meetings with Tucker Carlson, Laura Ingraham, and Hannity before hes had one meeting with Floridas top public health official. You know how Fox News keeps having people on saying Im not a doctor, but (insert anti-vax garbage)... well, were not doctors either, but Fox News is killing people. And while DeSantis is going to war to prevent Floridas public schools from instituting mask mandates that we know save lives, the school where he sent his own kids, of course, has a mask mandate. This hypocrisy is now the platform of the new GOP. Its more of the same. Secretly vaccinated Republican Congresspeople applauding low vaccination rates. Sowing distrust in health officials and chaos in our emergency rooms. Endangering lives of everyday American children while their own families skirt the risk in fancy private schools. While DeSantis is campaigning to be our next American dictator, Floridians are dying. And were not going to take it lying down. Watch our ad and share it widely, so we can get it in front of the voters who matter. The GOP is no longer a Party. This is no longer about politics. Its about life and death and democracy and authoritarianism.  The Lincoln Project",,,,,,0,,,18,-6.22,0
Republicans and Democrats United for Biden-Harris,,none,,,,9770,,2021-08-19 00:29:08 EDT,2021/8/19,0:29:08,Status,8,6,1,1,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/1000349763840838,"From The Lincoln Project August 17, 2021 Last week we released our ad Back to School calling out Texas Gov. Greg Abbott and Florida Governor Ron DeSantis for endangering the lives of school children with their anti-vax, anti-mask COVID conspiracies. Since then, youd like to think they figured it out and decided to put our kids safety before their partisan propaganda campaign. Remember this? Florida got it right, and the lockdown states got it wrong. Yeah, right. They doubled down. You already know Abbott immediately rallied his team of mob-mouthpieces to attack the Lincoln Project and fundraise off our ad. Ron DeSantis? Still spewing lies while Floridians die, and now hes facing the heat. 5,600 kids in Tampa are quarantined right now. Its an entire district. Rates are soaring. DeSantis is still putting the talking points of Trump loyalists and far-right talking heads before the needs of Floridians. Hes met with Sean Hannity more times this term than hes met with his own Lieutenant Governor. Hes held multiple meetings with Tucker Carlson, Laura Ingraham, and Hannity before hes had one meeting with Floridas top public health official. You know how Fox News keeps having people on saying Im not a doctor, but (insert anti-vax garbage)... well, were not doctors either, but Fox News is killing people. And while DeSantis is going to war to prevent Floridas public schools from instituting mask mandates that we know save lives, the school where he sent his own kids, of course, has a mask mandate. This hypocrisy is now the platform of the new GOP. Its more of the same. Secretly vaccinated Republican Congresspeople applauding low vaccination rates. Sowing distrust in health officials and chaos in our emergency rooms. Endangering lives of everyday American children while their own families skirt the risk in fancy private schools. While DeSantis is campaigning to be our next American dictator, Floridians are dying. And were not going to take it lying down. Watch our ad and share it widely, so we can get it in front of the voters who matter. The GOP is no longer a Party. This is no longer about politics. Its about life and death and democracy and authoritarianism.  The Lincoln Project",,,,,,0,,,8,-8.62,-1
Democratic Party,,none,,,,3258,,2021-08-19 02:28:20 EDT,2021/8/19,2:28:20,Status,4,1,1,2,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/110546228986073/permalink/6236174103089891,"From The Lincoln Project August 17, 2021 Last week we released our ad Back to School calling out Texas Gov. Greg Abbott and Florida Governor Ron DeSantis for endangering the lives of school children with their anti-vax, anti-mask COVID conspiracies. Since then, youd like to think they figured it out and decided to put our kids safety before their partisan propaganda campaign. Remember this? Florida got it right, and the lockdown states got it wrong. Yeah, right. They doubled down. You already know Abbott immediately rallied his team of mob-mouthpieces to attack the Lincoln Project and fundraise off our ad. Ron DeSantis? Still spewing lies while Floridians die, and now hes facing the heat. 5,600 kids in Tampa are quarantined right now. Its an entire district. Rates are soaring. DeSantis is still putting the talking points of Trump loyalists and far-right talking heads before the needs of Floridians. Hes met with Sean Hannity more times this term than hes met with his own Lieutenant Governor. Hes held multiple meetings with Tucker Carlson, Laura Ingraham, and Hannity before hes had one meeting with Floridas top public health official. You know how Fox News keeps having people on saying Im not a doctor, but (insert anti-vax garbage)... well, were not doctors either, but Fox News is killing people. And while DeSantis is going to war to prevent Floridas public schools from instituting mask mandates that we know save lives, the school where he sent his own kids, of course, has a mask mandate. This hypocrisy is now the platform of the new GOP. Its more of the same. Secretly vaccinated Republican Congresspeople applauding low vaccination rates. Sowing distrust in health officials and chaos in our emergency rooms. Endangering lives of everyday American children while their own families skirt the risk in fancy private schools. While DeSantis is campaigning to be our next American dictator, Floridians are dying. And were not going to take it lying down. Watch our ad and share it widely, so we can get it in front of the voters who matter. The GOP is no longer a Party. This is no longer about politics. Its about life and death and democracy and authoritarianism.  The Lincoln Project",,,,,,0,,,4,-7.25,-1
Progressively Armed Liberals,,none,,,,158,,2021-08-24 03:05:13 EDT,2021/8/24,3:05:13,Status,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/380920872263379/permalink/1434760973546025,"From under 100 deaths per day to over a 1,000 An audience of Trump deadenders booed The Donald when he encouraged them to get vaccinated Saturday. Sensing his mistake he quickly pivoted """"""""You've got your freedoms."""""""" That's why we're 20 months into pandemic restrictions with only slightly over 70 % American adults vaccinated. But the current covid surge is due to extreme discrepancy in percentages of the vaccinated. The redder the political affiliation of a county or state, the lower the vaccination rate and the higher the infection and death rate due to that discrepancy. Trump and his self destructive GOP have given us a death annuity from their governance. Eight months out of office and they're still getting folks infected and killed, one delusional anti- vax, anti-mask statement at a time.",,,,,,0,,,1,-0.8,0
Liberal Nation Rising,,none,,,,7649,,2022-01-11 11:01:29 EST,2022/1/11,11:01:29,Status,11,4,0,2,0,1,4,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/219104618471894/permalink/1547849092264100,"Front Line Covid-19 Critical Care Alliance, is an anti-vax group that is run by Dr. Pierre Kory. Just to give you a little insight on Dr.Kory. He is a frequent guest on Fox and on Joe Rogan's podcast. Dr. Kory's group has been pushing for those infected with coronavirus, but whom the horse paste didn't work ( shock! ) to instead treat Covid-19 with spironolactone and finasteride. What are those you ask? Oh just testosterone suppressants, because more men were dying of Covid than women. So instead of taking a free, safe, and effective vaccine, the same coal rolling, petro masculinists who spent years shouting """"""""snowflake """""""" as an insult and denigrating left wing men for being feminized because we believe women about rape and we didn't follow a misogynist pig, are now, eagerly consuming """""""" medical """""""" advice telling them to take the actual medications trans women use to suppress testosterone. What could be worse than an illness that would force the mighty ( insecure) MAGA man to self feminize? The Covid vaccine, of course! Oh, there's more. Christopher Key, who leads a Anti-Vax group called """""""" Vaccine Police """""""" is insisting that his followers undergo """""""" urine therapy """""""" Yes, apparently they have """""""" tons and tons of research """""""" showing the """""""" antidote """""""" to the vaccine ( which Key calls """"""""the worst bioweapon he has ever seen"""""""") is drinking your own pee. While It's unclear how many bioweapons this flamethrower Anti-Vaxer has seen, or how drinking your pee is supposed to protect you from the effects of other people taking the vaccine, his passion is undeniable. But hey, at least you'll know when you're talking to one of these nuts, because they won't be wearing a mask and you'll be able to smell the pee on their breath! Best not to get too close though, for a number of reasons. Never stop demanding more my brothers and sisters :red_heart:",,,,,,0,,,11,-4.91,0
Progressive and Liberal Activists,,none,,,,7106,,2022-01-11 10:59:49 EST,2022/1/11,10:59:49,Status,11,3,1,2,0,5,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/376941065675704/permalink/4163817146988058,"Front Line Covid-19 Critical Care Alliance, is an anti-vax group that is run by Dr. Pierre Kory. Just to give you a little insight on Dr.Kory. He is a frequent guest on Fox and on Joe Rogan's podcast. Dr. Kory's group has been pushing for those infected with coronavirus, but whom the horse paste didn't work ( shock! ) to instead treat Covid-19 with spironolactone and finasteride. What are those you ask? Oh just testosterone suppressants, because more men were dying of Covid than women. So instead of taking a free, safe, and effective vaccine, the same coal rolling, petro masculinists who spent years shouting """"""""snowflake """""""" as an insult and denigrating left wing men for being feminized because we believe women about rape and we didn't follow a misogynist pig, are now, eagerly consuming """""""" medical """""""" advice telling them to take the actual medications trans women use to suppress testosterone. What could be worse than an illness that would force the mighty ( insecure) MAGA man to self feminize? The Covid vaccine, of course! Oh, there's more. Christopher Key, who leads a Anti-Vax group called """""""" Vaccine Police """""""" is insisting that his followers undergo """""""" urine therapy """""""" Yes, apparently they have """""""" tons and tons of research """""""" showing the """""""" antidote """""""" to the vaccine ( which Key calls """"""""the worst bioweapon he has ever seen"""""""") is drinking your own pee. While It's unclear how many bioweapons this flamethrower Anti-Vaxer has seen, or how drinking your pee is supposed to protect you from the effects of other people taking the vaccine, his passion is undeniable. But hey, at least you'll know when you're talking to one of these nuts, because they won't be wearing a mask and you'll be able to smell the pee on their breath! Best not to get too close though, for a number of reasons. Never stop demanding more my brothers and sisters :red_heart:",,,,,,0,,,11,-3,-1
Republicans and Democrats United for Biden-Harris,,none,,,,9819,,2021-08-25 01:19:42 EDT,2021/8/25,1:19:42,Status,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/1004182983457516,"GQP called ObamaCare a """"""""death panel"""""""". And health care for Covid Vax refusers over anybody else???",,,,,,0,,,1,-54,0
Republicans and Democrats United for Biden-Harris,,none,,,,5068,,2021-03-23 00:58:35 EDT,2021/3/23,0:58:35,Status,69,7,40,4,0,0,4,11,3,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/910258626183286,"HOW DO YOU ADDRESS PEOPLE WHO SAY COVID IS A GOVERNMENT """"""""PLANDEMIC"""""""", COUNTS ARE FAKE, IT'S A HOAX, IT'S A FLU, DON'T VAX, BIDEN IS A CROOK?",,,,,,0,,,69,1.19,1
Democratic America,,none,,,,9032,,2021-09-29 14:20:00 EDT,2021/9/29,14:20:00,Status,61,40,4,7,9,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/groups/203489800225585/permalink/1002133233694567,"How many of Yall remember all those vaccinations we got as kids in the 1960's??? Polio, Diptheria, Typhoid, TB, etc... I do. All except the Smallpox vaccination. Had the round scare to show I got it.. A true badge of courage... I remember... Saved thousands upon thousands of lives. Got the vaccinations at the school... Say what one will in the anti-vax world. Personally, I am Really Glad I never had to fear getting Polio, Smallpox, and TB... They didn't have measles & chickenpox vaccinations when I was little, (born 1954). I had them both at the same time. My Mother an RN said the fevers almost killed me more than once... Now there are viable/workable Vactinces for Both... Cool huh? No other Mommy will ever have to go through what My Mommy did... David Pope Alsea, OR",,,,,,0,,,61,1.03,0
Republicans and Democrats United for Biden-Harris,,none,,,,9645,,2021-08-06 18:59:12 EDT,2021/8/6,18:59:12,Status,7,1,2,1,0,0,0,3,0,0,,-,0,0,0,,https://www.facebook.com/groups/683933382149146/permalink/992682307940917,How will the anti vax morons respond if mutations allow the virus to kill children?,,,,,,0,,,7,-12.14,0
The Order of United Democrats,,none,,,,22175,,2021-08-06 18:58:35 EDT,2021/8/6,18:58:35,Status,2,1,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/533588836848569/permalink/1941823752691730,How will the anti vax morons respond if mutations allow the virus to kill children?,,,,,,0,,,2,-13.5,-1
Georgia is Ready for Democrats,,none,,,,837,,2022-02-01 16:04:00 EST,2022/2/1,16:04:00,Status,4,3,0,0,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/groups/1403032449974768/permalink/3107173756227287,"I copied this from Democratic Underground, and yes it has swearing. I dont think they should be removed as it helps you understand the feeling the writer had. And in the bigger picture being offended by swearing in the age of inserection might be necessary. Here goes, from DU-- Glamrock I honestly could give two shits if it makes me a bad person anymore! Ive fucking had it. Im done. Congratulations conservatives! Youve turned me into a sociopath. Good on you! My darling, beautiful wife told me her anti-vax sister is upset because she cant attend a number of concerts this year without proof of vaccination. Its not fair! Yeah, its not fair. You know whats not fair? The fact that you and millions of other brain dead morons are willingly putting people in danger of losing their lives because youre an idiot. You know whats not fair? That 900k Americans have died because you know better than the experts in this field. You know better because youre listening to the likes of Joe Rogan and Sean Hannity and every motherfucker who tells you your uninformed, bigoted, misogynistic, ignorant world view is correct. You know whats not fair? The fact that I have changed into you because of you. That Washington State Trooper that told the governor to kiss his ass, he wasnt getting vaccinated? Good. Fuck him. Good fucking riddance. Sorry for the more evolved in his family, but those that agreed with him? Fuck you. Glad hes dead. The countless A.M. radio/YouTubers/podcasters who have died while singing this song? Fuck you too. And fuck your families if they think youre a hero for the stance that killed your dumb ass. I am sooooo fucking done with these people. They cant die fast enough or soon enough for me. By all means, dont get vaxxed. Suffer the inevitable intubation and/or lasting serious health consequences and possibly death since, unlike other sentient beings, you cant be bothered to think critically about a)the actual facts and who youre getting youre information from. And more importantly, b) who you might be affecting (Read killing, with your grinning ignorance). Ufirtunately, your stance impacts me and I wish insurance companies would charge you more for that risky behavior instead of having my premimum subsidize yours. I wish a requirement for admidtance into an ICU was a vaccination, you can die at home not taking up valuable room responsible others should have. As far as I can tell with my horrible math skills is that, at minimum, you all have sacrificed hundreds of thousands of your own because you dont have the capacity to think critically, or are so fanatical in your beliefs that you refuse to accept the reality of this reality. Youre the same people that refuse to see the danger of climate change. Youre the same people that cheer tax cuts for billionaires while your taxes go up to make the difference. Youre the same fucking people that refuse to recognize the fact that slavery and bigotry has condemned millions to live in the shadows, and on and fucking on and fucking on. Get the Rona and die already. Ill be reading your obituaries with a smile on my face. Im so done with you fuckers! P.S. Sorry folks. I used to be a good person who cared. That person done died after 30+ years of this right wing bullshit. They won. My empathy is gone.",,,,,,0,,,4,-6.75,0
